airline_code,status,number_of_flights
FR,Departed,1
FY,Expected,2
FY,Boarding,1
FZ,Expected,4
G3,Expected,6
G3,Canceled,2
G9,Expected,1
G9,CheckIn,1
GA,Expected,12
GA,Boarding,1
GA,Arrived,3
GF,Departed,5
GF,Expected,13
GF,CheckIn,1
GF,Arrived,3
GF,Boarding,1
GL,Canceled,1
GL,Expected,6
GQ,Expected,3
GS,Expected,2
HV,Expected,2
HV,Departed,1
I2,Departed,1
I2,Expected,1
IB,Departed,23
IB,Expected,127
IB,Canceled,12
IB,Boarding,10
IB,Delayed,21
IB,Arrived,17
IB,GateClosed,2
IX,Departed,1
IY,Expected,2
IZ,Expected,2
J2,Expected,2
J4,Arrived,1
J4,CheckIn,1
J4,Expected,3
J5,Unknown,12
J5,Expected,14
J9,Arrived,2
J9,Departed,1
J9,Boarding,1
JL,Expected,9
,Canceled,17
,Delayed,30
JL,Departed,3
JL,Boarding,1
JL,Delayed,4
,Boarding,3
JT,Arrived,1
JT,CheckIn,1
JT,Expected,2
JU,Delayed,2
JU,Expected,4
KC,Expected,2
KE,Expected,5
KE,Boarding,1
KL,Arrived,8
KL,Boarding,2
KL,Expected,33
KL,Departed,10
KL,Delayed,1
KL,Canceled,1
KL,GateClosed,1
KM,Departed,2
KM,Expected,4
KQ,Expected,9
KQ,Arrived,1
KQ,Boarding,1
KQ,Canceled,4
KQ,Delayed,3
KU,Expected,4
LA,Expected,47
LA,Boarding,1
LA,Arrived,1
LA,Delayed,9
LA,Canceled,8
LH,Departed,6
LH,Delayed,7
LH,Expected,40
LH,Canceled,1
LH,Arrived,7
LH,Boarding,6
LH,GateClosed,1
LM,Expected,4
LO,Expected,6
LO,CheckIn,1
LO,Departed,1
LS,Departed,1
LS,Expected,24
LX,Expected,19
LX,Boarding,4
LX,Delayed,5
LX,Departed,4
LX,Arrived,5
LY,Expected,4
ME,Arrived,3
ME,Boarding,2
ME,Expected,4
MF,Arrived,1
MF,Boarding,1
MF,Expected,7
MH,Expected,31
MH,Boarding,2
MH,Departed,5
MH,Arrived,2
MH,Canceled,4
MH,Delayed,8
MK,Canceled,3
MK,Expected,3
MS,Expected,16
MS,Arrived,3
MS,Boarding,3
MS,Departed,2
MU,Expected,13
NE,Expected,1
NE,Delayed,1
NH,Expected,22
NH,Boarding,1
NP,Expected,1
NP,CheckIn,1
NT,Boarding,1
NT,Expected,28
NT,Arrived,4
NT,Departed,1
NT,CheckIn,1
NZ,Expected,12
NZ,Departed,2
NZ,Arrived,3
NZ,Boarding,3
OD,Expected,4
OO,Expected,1
OS,Arrived,8
OS,Boarding,8
OS,Expected,15
OS,Departed,5
OS,Delayed,1
OS,CheckIn,1
OS,GateClosed,1
OU,Expected,7
OU,Arrived,1
OV,Expected,1
OV,CheckIn,1
OZ,Expected,2
OZ,Unknown,1
P4,Expected,2
PC,Expected,5
PK,Expected,11
PK,Departed,2
PK,Arrived,2
PK,Boarding,1
PK,CheckIn,1
PM,Arrived,2
PM,Boarding,2
PM,Expected,10
Q4,Arrived,1
QF,Departed,2
QF,Expected,17
QF,Delayed,9
QF,Canceled,2
QF,Arrived,1
QF,Boarding,1
QP,Expected,4
QR,Expected,113
QR,CheckIn,1
QR,Departed,11
QR,Canceled,19
QR,Delayed,50
QR,Arrived,11
QR,Boarding,7
QR,GateClosed,2
RJ,Expected,13
RJ,Arrived,1
RK,Expected,2
RR,Departed,2
RR,Arrived,2
RR,Expected,2
,CheckIn,1
RX,Expected,2
RX,Departed,1
S4,Expected,8
S4,Departed,1
SD,Canceled,2
SD,Expected,1
SD,Boarding,1
SD,Arrived,1
SD,Departed,1
SK,Expected,25
SK,Arrived,4
SK,Delayed,5
SK,Departed,7
SK,Boarding,1
SM,Expected,2
SM,Arrived,1
SM,Departed,1
SN,Arrived,5
SN,Boarding,4
SN,Expected,12
SN,Departed,3
SN,Delayed,1
SQ,Expected,26
SQ,Departed,5
SQ,Delayed,1
SQ,Arrived,1
SQ,Boarding,3
SV,Arrived,15
SV,Departed,10
SV,Expected,123
SV,GateClosed,2
SV,CheckIn,8
SV,Boarding,2
TB,Expected,5
TG,Arrived,2
TG,Boarding,1
TG,GateClosed,1
TG,Expected,5
TG,Departed,1
TK,Expected,14
TK,Departed,2
TK,Arrived,1
TK,Boarding,1
TK,Delayed,1
TO,Expected,2
TP,Expected,28
TP,Departed,4
TP,Delayed,4
TP,Arrived,3
TP,Boarding,2
TR,Expected,2
U2,Expected,38
U2,Arrived,3
U2,Boarding,2
U2,Departed,2
U2,Delayed,2
U8,Expected,3
UA,Expected,46
UA,Departed,10
UA,Arrived,10
UA,Boarding,9
UA,Unknown,2
UA,GateClosed,1
UA,Delayed,9
UL,Arrived,3
UL,Expected,8
UL,Departed,2
UL,Boarding,2
UL,GateClosed,1
UL,Delayed,1
UU,Canceled,2
UU,Expected,2
UX,Expected,12
UX,Boarding,3
UX,Arrived,3
V7,Expected,4
VA,Expected,11
VL,Canceled,1
VL,Delayed,2
VL,Expected,3
VN,Departed,2
VN,Expected,5
VS,Departed,15
VS,Arrived,9
VS,Expected,67
VS,GateClosed,1
VS,Delayed,5
VS,Boarding,4
VS,Canceled,4
VY,Expected,31
VY,Departed,3
VY,Boarding,1
VY,Arrived,1
W4,Expected,6
W6,Expected,7
W6,Boarding,1
WB,Expected,9
WS,Boarding,1
WS,Arrived,2
WS,Expected,8
WS,Canceled,1
WS,Delayed,1
WY,Expected,4
WY,Arrived,1
WY,Departed,1
X4,Unknown,16
X4,Expected,14
XY,Expected,43
XY,Arrived,8
XY,Departed,5
XY,Boarding,2
XY,CheckIn,3
XY,Approaching,1
XY,Canceled,2
XY,Delayed,1
XY,GateClosed,1
ZH,Expected,2
ZN,Arrived,3
ZN,Departed,2
ZN,Expected,27
