flight_number,aircraft,origin_airport,destination_airport,actual_departure
QR 5957,Airbus A320,,,2026-06-27 12:00Z
AA 6764,Airbus A320,,,2026-06-27 12:00Z
EI 8330,Airbus A320,,,2026-06-27 12:00Z
AA 6686,Airbus A320 NEO,,,2026-06-27 11:55Z
QR 5962,Airbus A320,,,2026-06-27 11:55Z
BA 606,Airbus A320 NEO,,,2026-06-27 11:55Z
BA 888,Airbus A320,,,2026-06-27 11:55Z
AA 6756,Airbus A320,,,2026-06-27 11:55Z
BA 556,Airbus A319,,,2026-06-27 11:50Z
AA 7177,Airbus A319,,,2026-06-27 11:50Z
MH 9535,Boeing 787-9,,,2026-06-27 11:30Z
AA 737,Boeing 787-9,,,2026-06-27 11:30Z
BA 1538,Boeing 787-9,,,2026-06-27 11:30Z
IB 4673,Boeing 787-9,,,2026-06-27 11:30Z
AY 3867,Boeing 787-9,,,2026-06-27 11:30Z
BA 512,Airbus A320 NEO,,,2026-06-27 10:55Z
QR 6216,Airbus A320 NEO,,,2026-06-27 10:55Z
LH 4227,Airbus A320 NEO,,,2026-06-27 10:30Z
DL 8282,Airbus A220-300,,,2026-06-27 10:30Z
AF 1581,Airbus A220-300,,,2026-06-27 10:30Z
MK 9511,Airbus A220-300,,,2026-06-27 10:30Z
AA 6748,Airbus A320 NEO,,,2026-06-27 10:30Z
BA 634,Airbus A320 NEO,,,2026-06-27 10:30Z
KQ 3903,Airbus A220-300,,,2026-06-27 10:30Z
JL 7721,Airbus A320 NEO,,,2026-06-27 10:30Z
GL 1271,Bombardier Dash 8 Q200 / DHC-8-200,,,2026-06-27 10:30Z
UU 8581,Airbus A220-300,,,2026-06-27 10:30Z
VL 905,Airbus A320 NEO,,,2026-06-27 10:30Z
AM 5816,Airbus A220-300,,,2026-06-27 10:30Z
VS 6661,Airbus A220-300,,,2026-06-27 10:30Z
AA 7053,Airbus A320 NEO,,,2026-06-27 10:05Z
BA 450,Airbus A320 NEO,,,2026-06-27 10:05Z
JL 7727,Airbus A320 NEO,,,2026-06-27 10:05Z
BA 789,Airbus A319,,,
BA 777,Airbus A320,,,
BA 635,Airbus A320 NEO,,,
EI 8331,Airbus A320,,,
BA 615,Airbus A320,,,
EI 8403,Airbus A319,,,
EI 8748,Boeing 777-300ER Passenger,,,
BA 607,Airbus A320 NEO,,,
BA 557,Airbus A319,,,
BA 543,Airbus A320,,,
EI 8920,Boeing 787-8,,,
BA 513,Airbus A320 NEO,,,
BA 48,Boeing 777-300ER Passenger,,,
F3 358,Airbus A320,,,
G3 5092,Airbus A220-300,,,
BA 469,Airbus A320 (sharklets),,,
BA 463,Airbus A320,,,
GL 273,Bombardier Dash 8 Q200 / DHC-8-200,,,
BA 451,Airbus A320 NEO,,,
IB 3506,Boeing 777-300ER Passenger,,,
BA 425,Airbus A320,,,
BA 389,Airbus A319,,,
BA 363,Airbus A320 NEO,,,
BA 333,Airbus A320,,,
BA 309,Airbus A319,,,
IB 3648,Airbus A320,,,
IB 3675,Airbus A320,,,
BA 220,Boeing 787-8,,,
BA 1491,Airbus A321 NEO,,,
IB 3800,Airbus A320,,,
IB 3805,Airbus A321 NEO,,,
IB 3848,Airbus A320,,,
IB 3912,Airbus A320 (sharklets),,,
IB 3914,Boeing 787-8,,,
BA 1443,Airbus A320,,,
IB 7689,Embraer 190,,,
JL 6502,Airbus A320,,,
BA 1403,Airbus A319,,,
JL 6534,Airbus A320,,,
JL 6540,Airbus A320,,,
JL 6544,Airbus A320,,,
JL 7152,Airbus A320,,,
JL 7162,Airbus A320,,,
JL 7716,Airbus A320,,,
BA 1371,Airbus A321 NEO,,,
BA 895,Airbus A320 NEO,,,
BA 1339,Airbus A319,,,
AY 5968,Airbus A320,,,
JL 7822,Airbus A320,,,
AY 5927,Airbus A320,,,
JL 7828,Airbus A320 NEO,,,
AA 7054,Airbus A320 NEO,,,
AY 5462,Boeing 787-8,,,
JT 114,Airbus A330,,,
KL 4823,Airbus A350-1000,,,
KQ 3058,Airbus A220-300,,,
AY 5448,Boeing 777-300ER Passenger,,,
AT 5223,Airbus A320,,,
KQ 4067,Airbus A320,,,
AS 5270,Boeing 777-300ER Passenger,,,
LA 5490,Airbus A319,,,
LA 5496,Airbus A320,,,
AM 6020,Airbus A220-300,,,
AF 9652,Airbus A350-1000,,,
LA 5506,Airbus A320 NEO,,,
AF 1280,Airbus A220-300,,,
LA 5518,Airbus A320,,,
AA 7221,Airbus A320,,,
AA 7189,Airbus A320,,,
AA 7102,Airbus A320 NEO,,,
MH 9717,Airbus A319,,,
AA 7042,Airbus A320 (sharklets),,,
MK 9410,Airbus A220-300,,,
AA 6938,Boeing 787-8,,,
AA 6907,Boeing 777-300ER Passenger,,,
QF 3516,Airbus A320,,,
QF 3518,Airbus A320,,,
QR 5865,Airbus A320 (sharklets),,,
QR 5876,Airbus A320 NEO,,,
AA 6879,Airbus A320,,,
AA 6877,Airbus A319,,,
3F 877,Airbus A321,,,
AA 6843,Airbus A320,,,
AA 6807,Airbus A320,,,
QR 6229,Airbus A320 NEO,,,
QR 6264,Airbus A319,,,
QR 6284,Airbus A320,,,
AA 6787,Airbus A320 NEO,,,
AA 6765,Airbus A320,,,
AA 6639,Airbus A320,,,
QR 8345,Airbus A320,,,
QR 9691,Airbus A321 NEO,,,
QR 9724,Airbus A320,,,
AA 6638,Airbus A320 NEO,,,
QR 9768,Airbus A320,,,
BA 889,Airbus A320,,,
SD 220,Airbus A320,,,
SD 220,Airbus A320,,,
BA 875,Airbus A320,,,
BA 855,Airbus A320,,,
SD 226,Airbus A320,,,
CX 7117,Airbus A319,,,
CX 7172,Airbus A319,,,
BA 8462,Embraer 190,,,
BA 831,Airbus A320,,,
VS 22,Airbus A350-1000,,,
VS 6656,Airbus A220-300,,,
CZ 7232,Airbus A319,,,
DL 5982,Airbus A350-1000,,,
WS 5066,Airbus A220-300,,,
XY 625,Airbus A320 NEO,,,
QR 5982,Airbus A320 NEO,,,
